类目,类目链接,型号,描述
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,华为P20 Pro（全网通） 4000万徕卡三摄，AI摄影，异形全面屏,4000万徕卡三摄，AI摄影，异形全面屏
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,OPPO R15（6GB RAM/全网通） 19:9超视野全面屏，双面玻璃设计，AI 智能拍照,19:9超视野全面屏，双面玻璃设计，AI 智能拍照
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,vivo X21屏幕指纹版（全网通） 屏幕指纹解锁，人工智能 Jovi AI，新一代OLED全面屏，逆光人像,屏幕指纹解锁，人工智能 Jovi AI，新一代OLED全面屏，逆光人像
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,一加6（8GB RAM/全网通） 面部解锁，指纹识别，19:9全面屏，全面屏手势,面部解锁，指纹识别，19:9全面屏，全面屏手势
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,荣耀10（全网通） 变色极光玻璃，前置隐形湿手指纹解锁，2400万AI摄影,变色极光玻璃，前置隐形湿手指纹解锁，2400万AI摄影
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,三星GALAXY S9（全网通） 虹膜识别，面部识别，无线快充，Bixby人工智能实时翻译,虹膜识别，面部识别，无线快充，Bixby人工智能实时翻译
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,苹果iPhone X（全网通） 无线充电，面容ID，后置双摄，全面屏,无线充电，面容ID，后置双摄，全面屏
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,华为P20（全网通） 玻璃机身，AI摄影，异形全面屏,玻璃机身，AI摄影，异形全面屏
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,联想S5（4GB RAM/全网通） 智慧双摄，面部识别，区块链手机,智慧双摄，面部识别，区块链手机
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,小米MIX 2s（6GB RAM/全网通） AI超感光双摄，语音助理，4曲面陶瓷机身，无线充电,AI超感光双摄，语音助理，4曲面陶瓷机身，无线充电
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,锤子科技坚果R1（6GB RAM/全网通） 人工智能引擎，旗舰处理器，18.7:9全面屏，指纹+人脸解锁,人工智能引擎，旗舰处理器，18.7:9全面屏，指纹+人脸解锁
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,vivo X21（全网通） 人工智能，Jovi AI，全面屏，逆光人像,人工智能，Jovi AI，全面屏，逆光人像
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,魅族15（全网通） mBack，mTouch，Flyme 7，全局式触觉反馈系统,mBack，mTouch，Flyme 7，全局式触觉反馈系统
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,苹果iPhone 8 Plus（全网通） 双面玻璃，无线充电，Portrait Lighting，后置双摄,双面玻璃，无线充电，Portrait Lighting，后置双摄
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,360 手机N7（全网通） 全面屏，游戏加速器2.0，安全键盘，后置智慧双摄,全面屏，游戏加速器2.0，安全键盘，后置智慧双摄
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,诺基亚X6 2018（4GB RAM/全网通） 全面屏，指纹识别，AI面部识别，AI悬浮球,全面屏，指纹识别，AI面部识别，AI悬浮球
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,苹果iPhone 8（全网通） 双面玻璃，无线充电，AR游戏,双面玻璃，无线充电，AR游戏
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,苹果iPhone 7（全网通） 防水防尘，True Tone闪光灯，4K视频摄录，非按压式指纹识别,防水防尘，True Tone闪光灯，4K视频摄录，非按压式指纹识别
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,华为nova 3e（全网通） 人脸识别，19:9全面屏，游戏助手，智能语音助手,人脸识别，19:9全面屏，游戏助手，智能语音助手
